  0.00000   0.00000
  0.02513   0.00000
  0.05025   0.00298
  0.07538   0.10523
  0.10050   0.20437
  0.12563   0.27613
  0.15075   0.33574
  0.17588   0.38446
  0.20101   0.42493
  0.22613   0.46075
  0.25126   0.49237
  0.27638   0.52004
  0.30151   0.54300
  0.32663   0.56250
  0.35176   0.58012
  0.37688   0.59823
  0.40201   0.61466
  0.42714   0.62816
  0.45226   0.64149
  0.47739   0.65570
  0.50251   0.66518
  0.52764   0.67809
  0.55276   0.68753
  0.57789   0.69472
  0.60302   0.70492
  0.62814   0.70931
  0.65327   0.71844
  0.67839   0.72763
  0.70352   0.73463
  0.72864   0.74190
  0.75377   0.74543
  0.77889   0.75272
  0.80402   0.75925
  0.82915   0.76120
  0.85427   0.77020
  0.87940   0.77337
  0.90452   0.77853
  0.92965   0.78225
  0.95477   0.78821
  0.97990   0.78811
  1.00503   0.79233
  1.03015   0.79137
  1.05528   0.80282
  1.08040   0.80481
  1.10553   0.80921
  1.13065   0.81382
  1.15578   0.81328
  1.18090   0.81620
  1.20603   0.82107
  1.23116   0.82508
  1.25628   0.82597
  1.28141   0.82921
  1.30653   0.83172
  1.33166   0.83589
  1.35678   0.83828
  1.38191   0.84045
  1.40704   0.83963
  1.43216   0.84172
  1.45729   0.84472
  1.48241   0.84809
  1.50754   0.85023
  1.53266   0.85188
  1.55779   0.85597
  1.58291   0.85629
  1.60804   0.86048
  1.63317   0.86049
  1.65829   0.85984
  1.68342   0.86186
  1.70854   0.86362
  1.73367   0.86564
  1.75879   0.86820
  1.78392   0.86772
  1.80905   0.87115
  1.83417   0.87372
  1.85930   0.87208
  1.88442   0.87483
  1.90955   0.87392
  1.93467   0.87772
  1.95980   0.87926
  1.98492   0.88161
  2.01005   0.88144
  2.03518   0.88295
  2.06030   0.88395
  2.08543   0.88550
  2.11055   0.88617
  2.13568   0.88688
  2.16080   0.88786
  2.18593   0.88819
  2.21106   0.89309
  2.23618   0.89173
  2.26131   0.89334
  2.28643   0.89260
  2.31156   0.89463
  2.33668   0.89684
  2.36181   0.89676
  2.38693   0.89773
  2.41206   0.89868
  2.43719   0.89931
  2.46231   0.89940
  2.48744   0.90125
  2.51256   0.90275
  2.53769   0.90201
  2.56281   0.90349
  2.58794   0.90384
  2.61307   0.90446
  2.63819   0.90575
  2.66332   0.90587
  2.68844   0.90795
  2.71357   0.90806
  2.73869   0.90764
  2.76382   0.90947
  2.78894   0.90935
  2.81407   0.91143
  2.83920   0.91151
  2.86432   0.91148
  2.88945   0.91432
  2.91457   0.91433
  2.93970   0.91387
  2.96482   0.91439
  2.98995   0.91473
  3.01508   0.91579
  3.04020   0.91701
  3.06533   0.91825
  3.09045   0.91686
  3.11558   0.91770
  3.14070   0.91818
  3.16583   0.92061
  3.19095   0.91990
  3.21608   0.92037
  3.24121   0.92023
  3.26633   0.92202
  3.29146   0.92260
  3.31658   0.92314
  3.34171   0.92213
  3.36683   0.92252
  3.39196   0.92503
  3.41709   0.92556
  3.44221   0.92542
  3.46734   0.92594
  3.49246   0.92628
  3.51759   0.92586
  3.54271   0.92711
  3.56784   0.92968
  3.59296   0.92835
  3.61809   0.92793
  3.64322   0.92996
  3.66834   0.92928
  3.69347   0.93072
  3.71859   0.92987
  3.74372   0.93099
  3.76884   0.93048
  3.79397   0.93219
  3.81910   0.93297
  3.84422   0.93326
  3.86935   0.93300
  3.89447   0.93335
  3.91960   0.93410
  3.94472   0.93548
  3.96985   0.93476
  3.99497   0.93414
  4.02010   0.93513
  4.04523   0.93563
  4.07035   0.92658
  4.09548   0.93547
  4.12060   0.93749
  4.14573   0.93891
  4.17085   0.93814
  4.19598   0.93678
  4.22111   0.93792
  4.24623   0.93842
  4.27136   0.93774
  4.29648   0.93927
  4.32161   0.93797
  4.34673   0.94040
  4.37186   0.93963
  4.39698   0.94152
  4.42211   0.93962
  4.44724   0.94124
  4.47236   0.94128
  4.49749   0.94086
  4.52261   0.94162
  4.54774   0.94230
  4.57286   0.94182
  4.59799   0.94357
  4.62312   0.94207
  4.64824   0.94346
  4.67337   0.94277
  4.69849   0.94326
  4.72362   0.94411
  4.74874   0.94505
  4.77387   0.94566
  4.79900   0.94478
  4.82412   0.94434
  4.84925   0.94370
  4.87437   0.94614
  4.89950   0.94570
  4.92462   0.94620
  4.94975   0.94614
  4.97487   0.94665
  5.00000   0.94645
