  0.00000   0.00000
  0.00379   0.00000
  0.00759   0.00000
  0.01138   0.00000
  0.01517   0.00000
  0.01897   0.00000
  0.02276   0.00000
  0.02655   0.00000
  0.03034   0.00000
  0.03414   0.00000
  0.03793   0.00011
  0.04172   0.00053
  0.04552   0.00078
  0.04931   0.00246
  0.05310   0.00788
  0.05690   0.01440
  0.06069   0.02776
  0.06448   0.05088
  0.06828   0.06733
  0.07207   0.08855
  0.07586   0.10656
  0.07966   0.12421
  0.08345   0.14270
  0.08724   0.15434
  0.09103   0.16988
  0.09483   0.18225
  0.09862   0.19692
  0.10241   0.20984
  0.10621   0.21967
  0.11000   0.23139
